,ISBN,Title,Author,PublicationYear,Subjects,ItemType,avg sales per year
1192722,1439187037,A sudden light / Garth Stein.,"Stein, Garth",2014.,"Family secrets Fiction, Washington State Fiction, Domestic fiction, Ghost stories",acbk,285.75
3910863, 9781439187036,A sudden light / Garth Stein.,"Stein, Garth",2014.,"Family secrets Fiction, Washington State Fiction, Domestic fiction, Ghost stories",acbk,285.75
430243, 9780545852012,Alicia the Snow Queen fairy / by Daisy Meadows.,"Meadows, Daisy",2017.,"Walker Rachel Fictitious character Juvenile fiction, Tate Kirsty Fictitious character Juvenile fiction, Magic Juvenile fiction, Fairies Juvenile fiction, Queens Juvenile fiction, Magic Fiction, Fairies Fiction, Adventure and adventurers Fiction",jcbk,285.0
3521875, 9780307700315,Some luck / Jane Smiley.,"Smiley, Jane",2014.,"Rural families Fiction, Farm life Fiction, Iowa Fiction, Social change United States History 20th century Fiction, United States Civilization 20th century Fiction, Domestic fiction, Historical fiction",acbk,285.0
2117041,0545852013,Alicia the Snow Queen fairy / by Daisy Meadows.,"Meadows, Daisy",2017.,"Walker Rachel Fictitious character Juvenile fiction, Tate Kirsty Fictitious character Juvenile fiction, Magic Juvenile fiction, Fairies Juvenile fiction, Queens Juvenile fiction, Magic Fiction, Fairies Fiction, Adventure and adventurers Fiction",jcbk,285.0
3521874,0307700313,Some luck / Jane Smiley.,"Smiley, Jane",2014.,"Rural families Fiction, Farm life Fiction, Iowa Fiction, Social change United States History 20th century Fiction, United States Civilization 20th century Fiction, Domestic fiction, Historical fiction",acbk,285.0
1425125,0385351836,One more thing : stories and other stories / B.J. Novak.,"Novak, B. J., 1979-",2014.,"Short stories, Humorous fiction",acbk,285.0
1184953, 9780385351836,One more thing : stories and other stories / B.J. Novak.,"Novak, B. J., 1979-",2014.,"Short stories, Humorous fiction",acbk,285.0
3743148,159420411X,The signal and the noise : why so many predictions fail-- but some don't / Nate Silver.,"Silver, Nate, 1978-",2012.,"Forecasting, Forecasting Methodology, Forecasting History, Bayesian statistical decision theory, Knowledge Theory of",acbk,284.8333333333333
1967834, 9781594204111,The signal and the noise : why so many predictions fail-- but some don't / Nate Silver.,"Silver, Nate, 1978-",2012.,"Forecasting, Forecasting Methodology, Forecasting History, Bayesian statistical decision theory, Knowledge Theory of",acbk,284.8333333333333
3658699,9780375856488,A good night for ghosts / by Mary Pope Osborne ; illustrated by Sal Murdocca.,"Osborne, Mary Pope",2009.,"Time travel Juvenile fiction, Magic Fiction, Armstrong Louis 1901 1971 Childhood and youth Juvenile fiction, Jazz Juvenile fiction, African Americans Juvenile fiction, Brothers and sisters Fiction, New Orleans La History 20th century Juvenile fiction",jcbk,284.77777777777777
3018236,0316273880,The black book / James Patterson and David Ellis.,"Patterson, James, 1947-",2017.,"Police Family relationships Fiction, Murder Investigation Fiction, Chicago Ill Fiction, Thrillers Fiction, Detective and mystery fiction",acbk,284.0
3777588, 9780316273886,The black book / James Patterson and David Ellis.,"Patterson, James, 1947-",2017.,"Police Family relationships Fiction, Murder Investigation Fiction, Chicago Ill Fiction, Thrillers Fiction, Detective and mystery fiction",acbk,284.0
239576, 9781400068937,Major Pettigrew's last stand : a novel / Helen Simonson.,"Simonson, Helen",2010.,"Country life England Fiction, Retirees Fiction, Widowers Fiction, Widows Fiction, Pakistanis England Fiction, Interracial friendship Fiction, Love stories",acbk,283.75
239575,1400068932,Major Pettigrew's last stand : a novel / Helen Simonson.,"Simonson, Helen",2010.,"Country life England Fiction, Retirees Fiction, Widowers Fiction, Widows Fiction, Pakistanis England Fiction, Interracial friendship Fiction, Love stories",acbk,283.75
2028839, 9780385352857,The narrow road to the deep north / Richard Flanagan.,"Flanagan, Richard, 1961-",2014.,"Prisoners of war Burma Fiction, Historical fiction, War stories",acbk,283.25
1391668,0385352859,The narrow road to the deep north / Richard Flanagan.,"Flanagan, Richard, 1961-",2014.,"Prisoners of war Burma Fiction, Historical fiction, War stories",acbk,283.25
3062330, 9781596435971,Bad kitty meets the baby / Nick Bruel.,"Bruel, Nick",2011.,"Cats Juvenile fiction, Babies Fiction, Adoption Juvenile fiction, Humorous stories",jcbk,282.7142857142857
489941,1596435976,Bad kitty meets the baby / Nick Bruel.,"Bruel, Nick",2011.,"Cats Juvenile fiction, Babies Fiction, Adoption Juvenile fiction, Humorous stories",jcbk,282.7142857142857
842162, 0553510827,Shadow of the shark / Mary Pope Osborne ; illustrated by Sal Murdocca..,"Osborne, Mary Pope",2015.,"Time travel Fiction, Adventure and adventurers Fiction, Magic Fiction, Mayas Fiction, Indians of Central America Fiction, Brothers and sisters Fiction, Cozumel Island Mexico History Fiction, Yucat n Peninsula History Fiction, JUVENILE FICTION Action Adventure General",jcbk,282.6666666666667
1368782,0553510819,Shadow of the shark / Mary Pope Osborne ; illustrated by Sal Murdocca..,"Osborne, Mary Pope",2015.,"Time travel Fiction, Adventure and adventurers Fiction, Magic Fiction, Mayas Fiction, Indians of Central America Fiction, Brothers and sisters Fiction, Cozumel Island Mexico History Fiction, Yucat n Peninsula History Fiction, JUVENILE FICTION Action Adventure General",jcbk,282.6666666666667
842165, 9780553510836,Shadow of the shark / Mary Pope Osborne ; illustrated by Sal Murdocca..,"Osborne, Mary Pope",2015.,"Time travel Fiction, Adventure and adventurers Fiction, Magic Fiction, Mayas Fiction, Indians of Central America Fiction, Brothers and sisters Fiction, Cozumel Island Mexico History Fiction, Yucat n Peninsula History Fiction, JUVENILE FICTION Action Adventure General",jcbk,282.6666666666667
842163, 9780553510812,Shadow of the shark / Mary Pope Osborne ; illustrated by Sal Murdocca..,"Osborne, Mary Pope",2015.,"Time travel Fiction, Adventure and adventurers Fiction, Magic Fiction, Mayas Fiction, Indians of Central America Fiction, Brothers and sisters Fiction, Cozumel Island Mexico History Fiction, Yucat n Peninsula History Fiction, JUVENILE FICTION Action Adventure General",jcbk,282.6666666666667
842164, 9780553510829,Shadow of the shark / Mary Pope Osborne ; illustrated by Sal Murdocca..,"Osborne, Mary Pope",2015.,"Time travel Fiction, Adventure and adventurers Fiction, Magic Fiction, Mayas Fiction, Indians of Central America Fiction, Brothers and sisters Fiction, Cozumel Island Mexico History Fiction, Yucat n Peninsula History Fiction, JUVENILE FICTION Action Adventure General",jcbk,282.6666666666667
305156, 9780316199988,The adventures of Beekle : the unimaginary friend / Dan Santat.,"Santat, Dan",2014.,"Imaginary playmates Fiction, Friendship Fiction",jcbk,282.5
3343441,0316199982,The adventures of Beekle : the unimaginary friend / Dan Santat.,"Santat, Dan",2014.,"Imaginary playmates Fiction, Friendship Fiction",jcbk,282.5
2171661, 9780765338211,Ender's game / Orson Scott Card.,"Card, Orson Scott","2013, c1977.","Wiggin Ender Fictitious character Fiction, Wiggin Peter Fictitious character Fiction, Brothers and sisters Fiction, Genetic engineering Fiction, War games Fiction, Science fiction",acbk,282.4
1662913, 9780765337320,Ender's game / Orson Scott Card.,"Card, Orson Scott","2013, c1977.","Wiggin Ender Fictitious character Fiction, Wiggin Peter Fictitious character Fiction, Brothers and sisters Fiction, Genetic engineering Fiction, War games Fiction, Science fiction",acbk,282.4
1662912, 0765338211,Ender's game / Orson Scott Card.,"Card, Orson Scott","2013, c1977.","Wiggin Ender Fictitious character Fiction, Wiggin Peter Fictitious character Fiction, Brothers and sisters Fiction, Genetic engineering Fiction, War games Fiction, Science fiction",acbk,282.4
1683103,0765337320,Ender's game / Orson Scott Card.,"Card, Orson Scott","2013, c1977.","Wiggin Ender Fictitious character Fiction, Wiggin Peter Fictitious character Fiction, Brothers and sisters Fiction, Genetic engineering Fiction, War games Fiction, Science fiction",acbk,282.4
2344618, 1451627947,Gemini : a novel / Carol Cassella.,"Cassella, Carol Wiley",2014.,"Women physicians Fiction, Seattle Wash Fiction, Medical novels, Love stories, Mystery fiction",acbk,282.25
225876, 9781451627947,Gemini : a novel / Carol Cassella.,"Cassella, Carol Wiley",2014.,"Women physicians Fiction, Seattle Wash Fiction, Medical novels, Love stories, Mystery fiction",acbk,282.25
2344617,1451627939,Gemini : a novel / Carol Cassella.,"Cassella, Carol Wiley",2014.,"Women physicians Fiction, Seattle Wash Fiction, Medical novels, Love stories, Mystery fiction",acbk,282.25
2174279, 9781451627930,Gemini : a novel / Carol Cassella.,"Cassella, Carol Wiley",2014.,"Women physicians Fiction, Seattle Wash Fiction, Medical novels, Love stories, Mystery fiction",acbk,282.25
1876117, 9780307594884,My beloved world / Sonia Sotomayor.,"Sotomayor, Sonia, 1954-",2013.,"Sotomayor Sonia 1954, Hispanic American judges Biography, Hispanic American women Biography, Judges United States Biography, United States Supreme Court Officials and employees Biography",acbk,282.0
2619411,0307594882,My beloved world / Sonia Sotomayor.,"Sotomayor, Sonia, 1954-",2013.,"Sotomayor Sonia 1954, Hispanic American judges Biography, Hispanic American women Biography, Judges United States Biography, United States Supreme Court Officials and employees Biography",acbk,282.0
456825,0670013951,Llama Llama and the bully goat / Anna Dewdney.,"Dewdney, Anna",2013.,"Stories in rhyme Juvenile fiction, Schools Juvenile fiction, Bullying Juvenile fiction, Llamas Juvenile fiction, Goats Juvenile fiction, Animals Juvenile fiction, Schools Fiction, Bullies Fiction, Animals Fiction",jcbk,281.6
3753789, 9780670013951,Llama Llama and the bully goat / Anna Dewdney.,"Dewdney, Anna",2013.,"Stories in rhyme Juvenile fiction, Schools Juvenile fiction, Bullying Juvenile fiction, Llamas Juvenile fiction, Goats Juvenile fiction, Animals Juvenile fiction, Schools Fiction, Bullies Fiction, Animals Fiction",jcbk,281.6
3749729,0375827366,Winter of the ice wizard / by Mary Pope Osborne ; illustrated by Sal Murdocca.,"Osborne, Mary Pope",2004.,"Space and time Fiction, Magic Fiction, Wizards Juvenile fiction",jcbk,281.57142857142856
2558334, 0375927360,Winter of the ice wizard / by Mary Pope Osborne ; illustrated by Sal Murdocca.,"Osborne, Mary Pope",2004.,"Space and time Fiction, Magic Fiction, Wizards Juvenile fiction",jcbk,281.57142857142856
1438951, 9781400063734,Let the great world spin : a novel / Colum McCann.,"McCann, Colum, 1965-",2009.,"Immigrants Fiction, Irish New York State New York Fiction, Judges spouses Fiction, Grief Fiction, Teenage mothers Fiction, Petit Philippe 1949 Fiction, Tightrope walking Fiction, New York N Y Fiction, Nineteen seventies Fiction, Psychological fiction",acbk,281.44444444444446
3520413,1400063736,Let the great world spin : a novel / Colum McCann.,"McCann, Colum, 1965-",2009.,"Immigrants Fiction, Irish New York State New York Fiction, Judges spouses Fiction, Grief Fiction, Teenage mothers Fiction, Petit Philippe 1949 Fiction, Tightrope walking Fiction, New York N Y Fiction, Nineteen seventies Fiction, Psychological fiction",acbk,281.44444444444446
874240,1416551050,A homemade life : stories and recipes from my kitchen table / Molly Wizenberg ; illustrations by Camilla Engman.,"Wizenberg, Molly",2009.,"Wizenberg Molly, Women food writers United States Biography, Cooking",acbk,280.3333333333333
874241, 9781416551058,A homemade life : stories and recipes from my kitchen table / Molly Wizenberg ; illustrations by Camilla Engman.,"Wizenberg, Molly",2009.,"Wizenberg Molly, Women food writers United States Biography, Cooking",acbk,280.3333333333333
1191524, 9781416551065,A homemade life : stories and recipes from my kitchen table / Molly Wizenberg ; illustrations by Camilla Engman.,"Wizenberg, Molly",2009.,"Wizenberg Molly, Women food writers United States Biography, Cooking",acbk,280.3333333333333
715852,0345525582,Garfield by the pound / by Jim Davis.,"Davis, Jim, 1945 July 28-",2011.,"Garfield Fictitious character Comic books strips etc, Cats Comic books strips etc, Pets Comic books strips etc, Pet owners Comic books strips etc, American wit and humor Pictorial, Cartoons and comics, Comic books strips etc",jcbk,280.14285714285717
531404, 9780345525581,Garfield by the pound / by Jim Davis.,"Davis, Jim, 1945 July 28-",2011.,"Garfield Fictitious character Comic books strips etc, Cats Comic books strips etc, Pets Comic books strips etc, Pet owners Comic books strips etc, American wit and humor Pictorial, Cartoons and comics, Comic books strips etc",jcbk,280.14285714285717
3264947, 0375964355,The Bippolo Seed : and other lost stories / by Dr. Seuss ; introduction by Charles D. Cohen.,"Seuss, Dr.",2011.,"Childrens stories American Juvenile fiction, Stories in rhyme Juvenile fiction, Short stories",jcbk,279.85714285714283
1116698, 9780375864353,The Bippolo Seed : and other lost stories / by Dr. Seuss ; introduction by Charles D. Cohen.,"Seuss, Dr.",2011.,"Childrens stories American Juvenile fiction, Stories in rhyme Juvenile fiction, Short stories",jcbk,279.85714285714283
199278,0375864350,The Bippolo Seed : and other lost stories / by Dr. Seuss ; introduction by Charles D. Cohen.,"Seuss, Dr.",2011.,"Childrens stories American Juvenile fiction, Stories in rhyme Juvenile fiction, Short stories",jcbk,279.85714285714283
1459734, 9780375964350,The Bippolo Seed : and other lost stories / by Dr. Seuss ; introduction by Charles D. Cohen.,"Seuss, Dr.",2011.,"Childrens stories American Juvenile fiction, Stories in rhyme Juvenile fiction, Short stories",jcbk,279.85714285714283
1239884, 9781594631399,"Boy, snow, bird / Helen Oyeyemi.","Oyeyemi, Helen",2014.,"Fairy tales Adaptations, Fantasy fiction",acbk,279.5
1711524,1594631395,"Boy, snow, bird / Helen Oyeyemi.","Oyeyemi, Helen",2014.,"Fairy tales Adaptations, Fantasy fiction",acbk,279.5
3384309, 9781594205613,The idiot / Elif Batuman.,"Batuman, Elif, 1977-",2017.,"Women college students Fiction, Turkish Americans Fiction, Identity Psychology Fiction, Coming of age Fiction, Psychological fiction, Bildungsromans",acbk,279.0
2974396,1594205612,The idiot / Elif Batuman.,"Batuman, Elif, 1977-",2017.,"Women college students Fiction, Turkish Americans Fiction, Identity Psychology Fiction, Coming of age Fiction, Psychological fiction, Bildungsromans",acbk,279.0
2269553, 9780062294180,I scream for ice cream / text by Laura Driscoll ; interior illustrations by Robert Eberz ; cover art by Rick Farley.,"Driscoll, Laura",2015.,"Splat the Cat Fictitious character Juvenile fiction, Cats Juvenile fiction, Ice cream ices etc Juvenile fiction, School field trips Juvenile fiction, Humorous stories",jcbk,278.6666666666667
2744110, 9780062294197,I scream for ice cream / text by Laura Driscoll ; interior illustrations by Robert Eberz ; cover art by Rick Farley.,"Driscoll, Laura",2015.,"Splat the Cat Fictitious character Juvenile fiction, Cats Juvenile fiction, Ice cream ices etc Juvenile fiction, School field trips Juvenile fiction, Humorous stories",jcbk,278.6666666666667
3291857, 0062294199,I scream for ice cream / text by Laura Driscoll ; interior illustrations by Robert Eberz ; cover art by Rick Farley.,"Driscoll, Laura",2015.,"Splat the Cat Fictitious character Juvenile fiction, Cats Juvenile fiction, Ice cream ices etc Juvenile fiction, School field trips Juvenile fiction, Humorous stories",jcbk,278.6666666666667
281581,0062294180,I scream for ice cream / text by Laura Driscoll ; interior illustrations by Robert Eberz ; cover art by Rick Farley.,"Driscoll, Laura",2015.,"Splat the Cat Fictitious character Juvenile fiction, Cats Juvenile fiction, Ice cream ices etc Juvenile fiction, School field trips Juvenile fiction, Humorous stories",jcbk,278.6666666666667
3213253,0061743526,To kill a mockingbird / Harper Lee.,"Lee, Harper",2010.,"Fathers and daughters Southern States Fiction, Trials Rape Southern States Fiction, Girls Southern States Fiction, Lawyers Southern States Fiction, Prejudices Fiction, Southern States Race relations Fiction, Alabama Fiction, Domestic fiction, Bildungsromans, Legal stories",acbk,278.625
2527509, 9780061743528,To kill a mockingbird / Harper Lee.,"Lee, Harper",2010.,"Fathers and daughters Southern States Fiction, Trials Rape Southern States Fiction, Girls Southern States Fiction, Lawyers Southern States Fiction, Prejudices Fiction, Southern States Race relations Fiction, Alabama Fiction, Domestic fiction, Bildungsromans, Legal stories",acbk,278.625
1105468, 9781410478122,Being mortal : medicine and what matters in the end / Atul Gawande.,"Gawande, Atul",2015.,"Terminal care, Critical care medicine, Aging Physiological aspects, Death Attitudes, Prognosis, Quality of life, Large type books",acbk,278.3333333333333
1105467,1410478122,Being mortal : medicine and what matters in the end / Atul Gawande.,"Gawande, Atul",2015.,"Terminal care, Critical care medicine, Aging Physiological aspects, Death Attitudes, Prognosis, Quality of life, Large type books",acbk,278.3333333333333
3432347,0670021873,Faithful Place / Tana French.,"French, Tana",2010.,"Missing persons Fiction, First loves Fiction, Police Ireland Dublin Fiction, Dublin Ireland Fiction",acbk,278.25
1540110, 9780670021871,Faithful Place / Tana French.,"French, Tana",2010.,"Missing persons Fiction, First loves Fiction, Police Ireland Dublin Fiction, Dublin Ireland Fiction",acbk,278.25
8323,1452101248,Plenty : vibrant vegetable recipes from London's Ottolenghi / by Yotam Ottolenghi.,"Ottolenghi, Yotam",2011.,"Vegetarian cooking, Cooking Vegetables, Cookbooks",acbk,278.14285714285717
3705739, 9781452101248,Plenty : vibrant vegetable recipes from London's Ottolenghi / by Yotam Ottolenghi.,"Ottolenghi, Yotam",2011.,"Vegetarian cooking, Cooking Vegetables, Cookbooks",acbk,278.14285714285717
1898734, 9781481438360,Daniel feels left out / adapted by Maggie Testa ; based on the screenplay written by Becky Friedman and Angela C. Santomero; poses and layouts by Jason Fruchter.,"Testa, Maggie",2015.,"Friendship Juvenile fiction, Tiger Juvenile fiction, Fathers and sons Juvenile fiction, Friendship Fiction, Tiger Fiction, Fathers and sons Fiction",jcbk,278.0
1760353,1501110721,Clawback / J.A. Jance.,"Jance, Judith A.",2016.,"Reynolds Ali Fictitious character Fiction, Women private investigators Arizona Fiction, Murder Investigation Fiction, Ponzi schemes Fiction, Mystery fiction, Suspense fiction",acbk,278.0
1927163, 9781481438353,Daniel feels left out / adapted by Maggie Testa ; based on the screenplay written by Becky Friedman and Angela C. Santomero; poses and layouts by Jason Fruchter.,"Testa, Maggie",2015.,"Friendship Juvenile fiction, Tiger Juvenile fiction, Fathers and sons Juvenile fiction, Friendship Fiction, Tiger Fiction, Fathers and sons Fiction",jcbk,278.0
1760354, 9781501110726,Clawback / J.A. Jance.,"Jance, Judith A.",2016.,"Reynolds Ali Fictitious character Fiction, Women private investigators Arizona Fiction, Murder Investigation Fiction, Ponzi schemes Fiction, Mystery fiction, Suspense fiction",acbk,278.0
3968897,1481438352,Daniel feels left out / adapted by Maggie Testa ; based on the screenplay written by Becky Friedman and Angela C. Santomero; poses and layouts by Jason Fruchter.,"Testa, Maggie",2015.,"Friendship Juvenile fiction, Tiger Juvenile fiction, Fathers and sons Juvenile fiction, Friendship Fiction, Tiger Fiction, Fathers and sons Fiction",jcbk,278.0
1097485,0385350902,The stars are fire / Anita Shreve.,"Shreve, Anita",2017.,"Great Fire Maine 1947 Fiction, Life change events Fiction, Single mothers Fiction, Historical fiction, Domestic fiction",acbk,278.0
1097486, 9780385350907,The stars are fire / Anita Shreve.,"Shreve, Anita",2017.,"Great Fire Maine 1947 Fiction, Life change events Fiction, Single mothers Fiction, Historical fiction, Domestic fiction",acbk,278.0
2212030, 1481438360,Daniel feels left out / adapted by Maggie Testa ; based on the screenplay written by Becky Friedman and Angela C. Santomero; poses and layouts by Jason Fruchter.,"Testa, Maggie",2015.,"Friendship Juvenile fiction, Tiger Juvenile fiction, Fathers and sons Juvenile fiction, Friendship Fiction, Tiger Fiction, Fathers and sons Fiction",jcbk,278.0
3104776,0152060758,Mr. Putter & Tabby see the stars / Cynthia Rylant ; illustrated by Arthur Howard.,"Rylant, Cynthia",2007.,"Putter Mr Fictitious character Juvenile fiction, Tabby Fictitious character Rylant Juvenile fiction, Cats Juvenile fiction, Old age Juvenile fiction, Neighborliness Juvenile fiction, Night Juvenile fiction",jcbk,277.8181818181818
3104777, 9780152060756,Mr. Putter & Tabby see the stars / Cynthia Rylant ; illustrated by Arthur Howard.,"Rylant, Cynthia",2007.,"Putter Mr Fictitious character Juvenile fiction, Tabby Fictitious character Rylant Juvenile fiction, Cats Juvenile fiction, Old age Juvenile fiction, Neighborliness Juvenile fiction, Night Juvenile fiction",jcbk,277.8181818181818
2967211, 0307980464,"Hurry up, Houdini! / by Mary Pope Osborne ; illustrated by Sal Murdocca.","Osborne, Mary Pope",2013.,"Time travel Juvenile fiction, Magicians Juvenile fiction, Houdini Harry 1874 1926 Juvenile fiction, New York N Y History 20th century Fiction, Magic Fiction, Tree houses Juvenile fiction",jcbk,277.8
1595285,0307980456,"Hurry up, Houdini! / by Mary Pope Osborne ; illustrated by Sal Murdocca.","Osborne, Mary Pope",2013.,"Time travel Juvenile fiction, Magicians Juvenile fiction, Houdini Harry 1874 1926 Juvenile fiction, New York N Y History 20th century Fiction, Magic Fiction, Tree houses Juvenile fiction",jcbk,277.8
1595287, 9780307980458,"Hurry up, Houdini! / by Mary Pope Osborne ; illustrated by Sal Murdocca.","Osborne, Mary Pope",2013.,"Time travel Juvenile fiction, Magicians Juvenile fiction, Houdini Harry 1874 1926 Juvenile fiction, New York N Y History 20th century Fiction, Magic Fiction, Tree houses Juvenile fiction",jcbk,277.8
2124960, 9780307980465,"Hurry up, Houdini! / by Mary Pope Osborne ; illustrated by Sal Murdocca.","Osborne, Mary Pope",2013.,"Time travel Juvenile fiction, Magicians Juvenile fiction, Houdini Harry 1874 1926 Juvenile fiction, New York N Y History 20th century Fiction, Magic Fiction, Tree houses Juvenile fiction",jcbk,277.8
148805, 9780545227759,"Thea Stilton, big trouble in the Big Apple / [based on an idea by Elisabetta Dami ; text by Thea Stilton ; illustrations by Alessandro Battan ... [and others] ; translated by Emily Clement].","Stilton, Thea",2011.,"Stilton Thea Juvenile fiction, Mice Juvenile fiction, Journalists Juvenile fiction, Schools Fiction, Teachers Juvenile fiction, Mystery and detective stories, New York N Y Fiction",jcbk,276.7142857142857
580192,0545227755,"Thea Stilton, big trouble in the Big Apple / [based on an idea by Elisabetta Dami ; text by Thea Stilton ; illustrations by Alessandro Battan ... [and others] ; translated by Emily Clement].","Stilton, Thea",2011.,"Stilton Thea Juvenile fiction, Mice Juvenile fiction, Journalists Juvenile fiction, Schools Fiction, Teachers Juvenile fiction, Mystery and detective stories, New York N Y Fiction",jcbk,276.7142857142857
4139773, 9781501135392,Zero K : a novel / Don DeLillo.,"DeLillo, Don",2016.,"Fathers and sons Fiction, Rich people Fiction, Bioethics Fiction, Psychological fiction",acbk,276.5
2674143, 1501138057,Zero K : a novel / Don DeLillo.,"DeLillo, Don",2016.,"Fathers and sons Fiction, Rich people Fiction, Bioethics Fiction, Psychological fiction",acbk,276.5
4139774, 9781501138058,Zero K : a novel / Don DeLillo.,"DeLillo, Don",2016.,"Fathers and sons Fiction, Rich people Fiction, Bioethics Fiction, Psychological fiction",acbk,276.5
1121971,1501135392,Zero K : a novel / Don DeLillo.,"DeLillo, Don",2016.,"Fathers and sons Fiction, Rich people Fiction, Bioethics Fiction, Psychological fiction",acbk,276.5
1889586, 1451627297,11/22/63 : a novel / Stephen King.,"King, Stephen, 1947-",2011.,"Kennedy John F John Fitzgerald 1917 1963 Assassination Fiction, Time travel Fiction, Alternative histories Fiction",acbk,276.2857142857143
103207, 9781451627282,11/22/63 : a novel / Stephen King.,"King, Stephen, 1947-",2011.,"Kennedy John F John Fitzgerald 1917 1963 Assassination Fiction, Time travel Fiction, Alternative histories Fiction",acbk,276.2857142857143
2969122, 1451663854,11/22/63 : a novel / Stephen King.,"King, Stephen, 1947-",2011.,"Kennedy John F John Fitzgerald 1917 1963 Assassination Fiction, Time travel Fiction, Alternative histories Fiction",acbk,276.2857142857143
103209, 9781451663853,11/22/63 : a novel / Stephen King.,"King, Stephen, 1947-",2011.,"Kennedy John F John Fitzgerald 1917 1963 Assassination Fiction, Time travel Fiction, Alternative histories Fiction",acbk,276.2857142857143
2969120,1451627289,11/22/63 : a novel / Stephen King.,"King, Stephen, 1947-",2011.,"Kennedy John F John Fitzgerald 1917 1963 Assassination Fiction, Time travel Fiction, Alternative histories Fiction",acbk,276.2857142857143
1889589, 9781451627299,11/22/63 : a novel / Stephen King.,"King, Stephen, 1947-",2011.,"Kennedy John F John Fitzgerald 1917 1963 Assassination Fiction, Time travel Fiction, Alternative histories Fiction",acbk,276.2857142857143
1270928, 0060001542,Diary of a spider / by Doreen Cronin ; pictures by Harry Bliss.,"Cronin, Doreen",2005.,"Spiders Juvenile fiction, Insects Juvenile fiction, Diaries Fiction",jcbk,276.0769230769231
3331953,0060001534,Diary of a spider / by Doreen Cronin ; pictures by Harry Bliss.,"Cronin, Doreen",2005.,"Spiders Juvenile fiction, Insects Juvenile fiction, Diaries Fiction",jcbk,276.0769230769231
293021,1455553549,Testimony / Scott Turow.,"Turow, Scott",2017.,"War crimes Bosnia and Herzegovina Fiction, Genocide Bosnia and Herzegovina Fiction, Missing persons Investigation Fiction, Legal fiction Literature, Thrillers Fiction, Detective and mystery fiction",acbk,276.0
780938, 9781455553549,Testimony / Scott Turow.,"Turow, Scott",2017.,"War crimes Bosnia and Herzegovina Fiction, Genocide Bosnia and Herzegovina Fiction, Missing persons Investigation Fiction, Legal fiction Literature, Thrillers Fiction, Detective and mystery fiction",acbk,276.0
3685320,1594486344,The good lord bird / James McBride.,"McBride, James, 1957-",2013.,"Fugitive slaves United States Fiction, Brown John 1800 1859 Fiction, Abolitionists Fiction, Harpers Ferry W Va History John Browns Raid 1859 Fiction, Historical fiction",acbk,275.2
3685321, 9781594486340,The good lord bird / James McBride.,"McBride, James, 1957-",2013.,"Fugitive slaves United States Fiction, Brown John 1800 1859 Fiction, Abolitionists Fiction, Harpers Ferry W Va History John Browns Raid 1859 Fiction, Historical fiction",acbk,275.2
4021239, 9780547564654,"How children succeed : grit, curiosity, and the hidden power of character / Paul Tough.","Tough, Paul",2012.,"Early childhood education United States, Cognitive styles in children United States",acbk,275.1666666666667
3713085,0547564651,"How children succeed : grit, curiosity, and the hidden power of character / Paul Tough.","Tough, Paul",2012.,"Early childhood education United States, Cognitive styles in children United States",acbk,275.1666666666667
2214511,0062203185,I'm brave! / Kate & Jim McMullan.,"McMullan, Kate",2014.,"Fire extinction Juvenile fiction, Fire engines Juvenile fiction, Courage Juvenile fiction",jcbk,274.75
3679016, 9780062203182,I'm brave! / Kate & Jim McMullan.,"McMullan, Kate",2014.,"Fire extinction Juvenile fiction, Fire engines Juvenile fiction, Courage Juvenile fiction",jcbk,274.75
3938191, 9781594206856,The portable Veblen / Elizabeth McKenzie.,"McKenzie, Elizabeth, 1958-",2016.,"Women translators Fiction, Man woman relationships Fiction, Betrothal Fiction, Squirrels Fiction, Dysfunctional families Fiction, Medical instruments and apparatus Fiction, Palo Alto Calif Fiction, California Fiction",acbk,274.5
3938190,1594206856,The portable Veblen / Elizabeth McKenzie.,"McKenzie, Elizabeth, 1958-",2016.,"Women translators Fiction, Man woman relationships Fiction, Betrothal Fiction, Squirrels Fiction, Dysfunctional families Fiction, Medical instruments and apparatus Fiction, Palo Alto Calif Fiction, California Fiction",acbk,274.5
1070175, 1596436697,Bad Kitty for president / Nick Bruel.,"Bruel, Nick",2012.,"Cats Juvenile fiction, Politics Practical Juvenile fiction, Elections Juvenile fiction",jcbk,274.1666666666667
250610, 9781596436695,Bad Kitty for president / Nick Bruel.,"Bruel, Nick",2012.,"Cats Juvenile fiction, Politics Practical Juvenile fiction, Elections Juvenile fiction",jcbk,274.1666666666667
4091482,1250079624,Bad Kitty for president / Nick Bruel.,"Bruel, Nick",2012.,"Cats Juvenile fiction, Politics Practical Juvenile fiction, Elections Juvenile fiction",jcbk,274.1666666666667
2005840, 9781250079626,Bad Kitty for president / Nick Bruel.,"Bruel, Nick",2012.,"Cats Juvenile fiction, Politics Practical Juvenile fiction, Elections Juvenile fiction",jcbk,274.1666666666667
914793,0545829348,How do dinosaurs stay friends? / Jane Yolen ; illustrated by Mark Teague.,"Yolen, Jane",2016.,"Stories in rhyme, Dinosaurs Fiction, Best friends Fiction, Friendship Fiction",jcbk,273.5
914794, 9780545829342,How do dinosaurs stay friends? / Jane Yolen ; illustrated by Mark Teague.,"Yolen, Jane",2016.,"Stories in rhyme, Dinosaurs Fiction, Best friends Fiction, Friendship Fiction",jcbk,273.5
